Natural,Metis,DegSort,RCM-strict,Gorder,Grappolo,Random,,Grappolo-RCM,Rabbit,Slashburn,,ND
236.834159,138.3045,260.2935241,257.22051,264.802238,166.697487,382.417171,,244.2770134,162.731242,329.494405,,326.8950651
112.908257,39.08045,303.5095272,26.495413,97.44319,22.958363,390.002823,,114.701482,29.208892,148.483416,,185.1107975
84.449923,12.16718,502.44453,99.096302,304.256549,14.041602,492.392142,,112.1479199,21.239599,249.757319,,202.1625578
522.38982,251.8908,396.9439126,382.246051,535.101803,283.696107,620.595181,,441.689724,363.722914,532.6251,,576.7392692
576.638146,221.4546329,385.5035175,391.755216,528.912573,293.094823,821.436715,,518.2184475,361.754735,495.813661,,704.2146594
960.764844,196.8819188,1397.826233,605.565582,1493.27105,153.78363,968.218719,,338.4471654,267.764844,1248.32271,,794.6551493
214.66879,46.12405217,1514.519715,180.535487,462.867455,72.624355,1637.451926,,251.7221717,74.213224,829.566727,,854.2550804
1304.015915,233.9317733,2085.46163,849.996134,1259.283764,300.949827,3623.608735,,1261.763736,400.122183,1832.114081,,2862.382053
2604.360767,2033.354158,2819.102681,3316.60767,2500.531654,1999.36202,6243.814012,,3132.366478,2190.727331,4439.566478,,5071.379414
7392.320713,2017.2032,8948.268991,6105.963114,7419.885352,2656.656638,8974.180158,,7629.042974,3001.846219,10098.6253,,8987.0491
6158.758918,956.2362623,5561.364186,2968.88188,6990.557191,1507.315607,7778.687661,,3160.492765,1312.79447,7058.00784,,6964.463475
720.891197,315.3352449,590.5753255,676.6615,649.082145,373.061841,728.1584,,697.5079045,348.227526,876.690765,,712.1650651
510.944035,228.8443985,472.4238222,486.614406,599.213468,281.634078,966.968165,,721.9890495,261.826727,597.995343,,819.5656536
12233.32639,9692.906959,15837.26344,13396.63014,15457.19508,10990.45737,20917.64907,,11198.0261,11117.0762,19445.10712,,18232.10671
4256.025636,2014.28495,7977.751363,5672.268411,10096.43999,1843.076066,7635.150629,,3823.280745,2043.910147,9771.045339,,4553.883671
3532.629558,525.1031087,8543.650011,2651.092897,3996.504063,579.068095,7896.469835,,3057.160086,600.668318,8050.10883,,4932.013323
4734.708726,483.3751796,5693.398618,637.173077,3216.076495,1001.517568,7499.545794,,2482.389384,649.742653,8309.236804,,5377.639367
418.24282,48.42819843,704.2594648,75.147846,337.443864,100.280026,689.632017,,431.2312337,69.7797,717.354439,,368.5037533
804.40212,82.30240522,1408.742356,108.711455,746.555891,129.30583,1382.88136,,893.5753771,108.997554,1432.918053,,669.9033021
1605.429852,111.61394,2823.766172,180.644737,1403.361211,207.484887,2718.039475,,906.7552957,210.369903,2895.62415,,1326.764991
3204.866804,194.2758789,5628.145024,242.018097,2720.210655,310.307778,5504.082061,,1966.075911,300.619458,5781.027442,,2592.745801
1447.113105,124.0262653,2591.25732,103.334867,1350.39273,229.587129,3711.52331,,578.4527256,217.410202,4023.815132,,1379.339956
1986.262878,1392.097737,3439.972433,1876.733799,3872.859325,1964.454918,3489.372515,,1937.860551,2323.125861,3786.743303,,3528.153725
2813.193419,391.3711799,3106.189286,448.274543,2869.54196,702.28526,3649.340222,,1332.535376,636.353177,4131.934719,,3464.545987
343.789688,245.5004043,1166.839011,699.779052,3216.076495,507.510895,5641.618117,,778.7338959,752.601551,8453.838862,,905.6913731
