Natural,Metis,DegSort,RCM,Gorder,Grappolo,Random,,Grappolo-RCM,Rabbit,Slashburn,,ND
241.623,410.864,297.417,321.871,225.845,214.684,235.768,,468.013,206.41,343.372,,399.048
99.1831,307.679,88.0596,26.9191,31.2283,21.9898,52.0903,,300.728,36.0733,99.2445,,162.214
55.7007,276.894,57.0279,87.6803,13.4588,8.84663,22.3231,,443.626,4.78732,78.4881,,106.94
400.886,651.619,374.741,467.412,383.522,296.24,248.855,,753.501,322.289,484.224,,648.561
525.868,871.497,465.821,479.034,390.232,314.787,254.362,,695.029,288.228,544.371,,788.655
4.50519,862.697,62.1084,601.356,265.93,76.1406,2.99758,,1441.37,113.602,331.576,,779.64
134.865,1283.57,416.15,195.953,81.4995,71.1909,208.069,,1662.09,44.0599,234.825,,692.815
953.924,2899.04,1076.42,1231.72,302.281,275.727,384.688,,3839.94,248.075,1355.66,,2365.92
2812.35,7228.72,3841.25,4981.68,3368.39,3433.29,3150.67,,6764.57,3624.86,4961.7,,5894.78
1928.19,6815.64,2083.08,6010.54,1787.85,1142.73,231.836,,12845.6,894.441,8000.59,,7211.32
5382.94,7799.65,4775.71,3967.16,2011.98,2202.49,3087.49,,9294.19,1581.98,5073.84,,7792.51
200.291,539.903,396.97,560.682,289.709,248.513,68.4413,,1034.5,318.902,660.975,,676.179
221.584,914.28,360.786,603.855,197.011,222.102,213.506,,1207.68,185.432,798.747,,797.554
8202.4,16783.9,9660.03,14282.2,9494.05,9351.64,6941.81,,26361.3,9197,9468.93,,14338
1332.42,3927.37,2933.19,5062.28,1364.19,904.425,34.0651,,11788.2,1222.42,2968.82,,3779.41
1130.66,4744.61,1120.77,2591.69,339.367,387.865,189.275,,11453.2,345.653,2567.46,,3036.39
4492.95,7442.41,4345.24,829.88,1002.52,1385.72,5190.08,,6555.61,698.941,3459.73,,6085.16
303.629,767.167,548.883,102.258,100.883,141.772,459.562,,840.647,67.1748,519.055,,468.636
576.239,1531.35,1174.35,147.193,162.346,181.832,867.629,,1671.86,118.08,1051.64,,876.396
1118.37,3036.31,2219.35,244.64,314.001,297.525,1823.25,,3363.23,155.453,1383.59,,1721.8
2172.55,6115.57,4351.06,327.915,456.152,445.285,3614.59,,6712.6,263.503,2897.12,,3359.96
1346.06,4135.73,2139.75,146.425,314.993,325.838,2501.23,,3361.55,172.516,835.594,,1903.2
1846.72,3869.75,2359.62,1960.51,2751.34,2684.47,1328.19,,4839,1942.46,2265.71,,3974.69
4405.4,4748.22,4355.9,778.93,1120.11,1166,4133.24,,4767.5,670.587,2574.95,,4671.96
887.44,6248.55,4223.1,770.163,1262.88,1014.32,4922.65,,2898.16,555.784,1537.02,,1660.59
