Gorder,Grappolo,SlashBurn,RCM
264.802238,166.697487,329.494405,257.22051
97.44319,22.958363,148.483416,26.495413
304.256549,14.041602,249.757319,99.096302
535.101803,283.696107,532.6251,382.246051
528.912573,293.094823,495.813661,391.755216
1493.27105,153.78363,1248.32271,605.565582
462.867455,72.624355,829.566727,180.535487
1259.283764,300.949827,1832.114081,849.996134
2500.531654,1999.36202,4439.566478,3316.60767
7419.885352,2656.656638,10098.6253,6105.963114
6990.557191,1507.315607,7058.00784,2968.88188
649.082145,373.061841,876.690765,676.6615
599.213468,281.634078,597.995343,486.614406
15457.19508,10990.45737,19445.10712,13396.63014
10096.43999,1843.076066,9771.045339,5672.268411
3996.504063,579.068095,8050.10883,2651.092897
3216.076495,1001.517568,8309.236804,637.173077
337.443864,100.280026,717.354439,75.147846
746.555891,129.30583,1432.918053,108.711455
1403.361211,207.484887,2895.62415,180.644737
2720.210655,310.307778,5781.027442,242.018097
1350.39273,229.587129,4023.815132,103.334867
3872.859325,1964.454918,3786.743303,1876.733799
2869.54196,702.28526,4131.934719,448.274543
3216.076495,507.510895,8453.838862,699.779052
